day_of_year,threshold_15,threshold_31
244,306.4012451171875,307.1022033691406
245,306.0947265625,306.8620300292969
246,305.7872314453125,306.6402893066406
247,305.5390625,306.38275146484375
248,305.321566772461,306.11578369140625
249,305.1116027832031,305.8528137207031
250,304.90606689453125,305.5853271484375
251,304.7346496582031,305.3330078125
252,304.5662536621094,305.0718078613281
253,304.4800109863281,304.8409423828125
254,304.32220458984375,304.5722961425781
255,304.1481018066406,304.3248291015625
256,303.9311828613281,304.07720947265625
257,303.7451171875,303.8451232910156
258,303.5835876464844,303.6135559082031
259,303.4365234375,303.3873291015625
260,303.2171936035156,303.18096923828125
261,302.9562683105469,303.0004577636719
262,302.6878967285156,302.7829895019531
263,302.326904296875,302.57025146484375
264,301.9999084472656,302.34893798828125
265,301.7039794921875,302.14556884765625
266,301.41229248046875,301.94720458984375
267,301.1627197265625,301.7342529296875
268,300.9199523925781,301.4930114746094
269,300.673583984375,301.2320556640625
270,300.4396667480469,300.9820556640625
271,300.1824645996094,300.6798095703125
272,299.9102478027344,300.3995056152344
273,299.6220397949219,300.12371826171875
274,299.3739929199219,299.8689270019531
275,299.1357116699219,299.6199951171875
276,298.9250793457031,299.383544921875
277,298.7709655761719,299.1351013183594
278,298.5416564941406,298.91229248046875
279,298.29132080078125,298.67510986328125
280,298.0506286621094,298.4284973144531
281,297.87255859375,298.1703796386719
282,297.6419372558594,297.9222412109375
283,297.38226318359375,297.69134521484375
284,297.1001892089844,297.4713134765625
285,296.90478515625,297.2781982421875
286,296.6834411621094,297.0326843261719
287,296.4488830566406,296.8116149902344
288,296.21136474609375,296.56396484375
289,295.95916748046875,296.3629455566406
290,295.7440490722656,296.1178894042969
291,295.50732421875,295.8517150878906
292,295.203369140625,295.5701904296875
293,294.9661865234375,295.31732177734375
294,294.6684265136719,295.0570983886719
295,294.4187316894531,294.8200378417969
296,294.1483154296875,294.5764465332031
297,293.8634033203125,294.3218078613281
298,293.5968322753906,294.06390380859375
299,293.311767578125,293.7793273925781
300,293.0686340332031,293.4857177734375
301,292.7839050292969,293.2162170410156
302,292.50732421875,292.94744873046875
303,292.26104736328125,292.6960144042969
304,291.96002197265625,292.4186096191406
305,291.64694519042973,292.11309814453125
306,291.31085205078125,291.8194274902344
307,290.9459533691406,291.5273742675781
308,290.6194763183594,291.26324462890625
309,290.30517578125,290.99945068359375
310,290.0185241699219,290.7528381347656
311,289.7278137207031,290.5093688964844
312,289.4717712402344,290.24786376953125
313,289.226318359375,289.99285888671875
314,288.96478271484375,289.7377014160156
315,288.6698913574219,289.4559326171875
316,288.3385009765625,289.1607666015625
317,287.9996337890625,288.8810729980469
318,287.71441650390625,288.59716796875
319,287.4149169921875,288.31292724609375
320,287.1340026855469,288.0345764160156
321,286.92279052734375,287.7531433105469
322,286.7483215332031,287.463134765625
323,286.49664306640625,287.1548767089844
324,286.2711181640625,286.8642272949219
325,286.0421447753906,286.5965270996094
326,285.80914306640625,286.3468017578125
327,285.5658264160156,286.0950927734375
328,285.31943054199223,285.8613586425781
329,285.04541015625,285.65545654296875
330,284.8099670410156,285.41656494140625
331,284.605712890625,285.1788330078125
332,284.4261169433594,284.94940185546875
333,284.2537841796875,284.7012023925781
334,284.060302734375,284.4697570800781
335,283.8711853027344,284.26104736328125
336,283.624267578125,284.060546875
337,283.38656921386723,283.8529052734375
338,283.1529541015625,283.692626953125
339,282.963134765625,283.5315246582031
340,282.7589111328125,283.35723876953125
341,282.5887451171875,283.2161560058594
342,282.42523193359375,283.0903015136719
343,282.3271484375,282.9493103027344
344,282.24700927734375,282.78076171875
345,282.1932678222656,282.623291015625
346,282.1103210449219,282.4806823730469
347,281.9866638183594,282.3498840332031
348,281.85498046875,282.23016357421875
349,281.8532409667969,282.1272277832031
350,281.8378601074219,282.0346984863281
351,281.8149719238281,281.9769287109375
352,281.7587585449219,281.93658447265625
353,281.7261962890625,281.9037780761719
354,281.67486572265625,281.8430480957031
355,281.6312255859375,281.7754821777344
356,281.647705078125,281.7091064453125
357,281.62530517578125,281.6707458496094
358,281.5937805175781,281.6325988769531
359,281.5685119628906,281.602783203125
360,281.5347900390625,281.56951904296875
361,281.481201171875,281.5649719238281
362,281.4721374511719,281.5466003417969
363,281.48968505859375,281.5394287109375
364,281.3763427734375,281.5606384277344
365,281.2460632324219,281.569580078125
