Date,Mean,Median,P90,P95,Max,day_of_year_y,threshold_15,threshold_31,month_num,day_num,month_name,Mean>threshold_31,Median>threshold_31,P90>threshold_31,P95>threshold_31,Max>threshold_31,heat_wave
2010-06-04,22.167389,24.644876098632835,27.58510437011722,27.754179382324253,29.346588,155,30.952569580078148,31.210839843750023,6,4,June,No,No,No,No,No,nella norma
2010-06-05,22.925995,25.133645629882835,28.48004150390625,28.79390563964847,30.383423,156,31.131860351562523,31.456201171875023,6,5,June,No,No,No,No,No,nella norma
2010-06-06,23.20581,25.60706481933596,29.074880981445347,29.24610290527346,30.81726,157,31.335015869140648,31.696466064453148,6,6,June,No,No,No,No,No,nella norma
2010-06-07,21.310791,23.698449707031273,28.196640014648438,28.519154357910168,29.454437,158,31.518853759765648,31.942132568359398,6,7,June,No,No,No,No,No,nella norma
2010-06-08,21.927002,24.169671630859398,29.610385131835983,30.00550537109376,31.051575,159,31.725579833984398,32.177087402343716,6,8,June,No,No,No,No,No,nella norma
2010-06-09,23.399841,26.054132080078148,30.19111328125001,30.476426696777366,32.17688,160,31.985467529296898,32.39739379882815,6,9,June,No,No,No,No,No,nella norma
2010-06-10,24.507233,26.981469726562523,31.307876586914062,31.944700622558628,33.02478,161,32.21123657226565,32.63009033203127,6,10,June,No,No,No,No,Yes,1 giorno
2010-06-11,24.833496,27.084497070312523,31.220855712890625,31.490463256835938,33.60083,162,32.4012390136719,32.87410888671877,6,11,June,No,No,No,No,Yes,2 giorno
2010-06-12,24.763824,26.80103454589846,31.71546630859376,32.00029754638672,35.41577,163,32.64983520507815,33.11086425781252,6,12,June,No,No,No,No,Yes,3 giorno
2010-06-13,24.457306,26.306726074218773,31.57410888671876,32.02164001464848,33.92993,164,32.92485961914065,33.32586059570315,6,13,June,No,No,No,No,Yes,4 giorno
2010-06-14,22.880035,25.065057373046898,29.840383911132847,30.260469055175804,32.444977,165,33.22136840820315,33.53826293945315,6,14,June,No,No,No,No,No,nella norma
