d_start,d_end,duration,summed_avg_all_residuals,summed_avg_positive_residuals,year
2022-05-15,2022-05-17,3,3.0312711000442505,4.108981609344482,2022
2022-05-20,2022-05-23,4,11.289652109146118,11.569055318832397,2022
2022-05-27,2022-05-27,1,2.235797166824341,2.5160958766937256,2022
2022-06-04,2022-06-05,2,4.9578235149383545,5.5093114376068115,2022
2022-06-12,2022-06-12,1,0.6889837384223938,1.1402708292007446,2022
2022-06-16,2022-06-17,2,2.579293191432953,3.7059015035629272,2022
2022-06-19,2022-06-21,3,4.311873435974121,5.516822457313538,2022
2022-06-26,2022-06-27,2,2.8683612048625946,3.5107755064964294,2022
2022-07-03,2022-07-04,2,3.643841862678528,4.387953042984009,2022
2022-07-15,2022-07-16,2,2.1479839086532593,3.0845035314559937,2022
2022-07-19,2022-07-25,7,15.229647874832153,16.30056941509247,2022
2022-08-04,2022-08-05,2,2.887173354625702,3.5008360147476196,2022
2022-10-17,2022-10-19,3,3.5686073899269104,4.132781267166138,2022
2022-10-22,2022-10-22,1,0.7616933584213257,1.553236484527588,2022
2022-10-26,2022-10-31,6,17.708606004714966,18.18322765827179,2022
2022-11-11,2022-11-12,2,3.3917219638824463,3.6531211137771606,2022
2023-01-03,2023-01-05,3,4.41833770275116,6.435189247131348,2023
2023-02-15,2023-02-15,1,1.2670701742172241,1.8435697555541992,2023
2023-03-22,2023-03-23,2,1.600131094455719,1.9828338623046875,2023
2023-07-10,2023-07-11,2,2.8995858430862427,3.488930344581604,2023
2023-07-16,2023-07-19,4,5.9639206528663635,7.206845164299011,2023
2023-08-15,2023-08-15,1,0.48648887872695923,0.7509208917617798,2023
2023-08-19,2023-08-25,7,21.01587677001953,21.349949955940247,2023
2023-09-10,2023-09-12,3,5.466265916824341,5.902989149093628,2023
2023-09-29,2023-10-03,5,7.304701745510101,7.879082202911377,2023
2023-10-06,2023-10-14,9,27.932394921779633,28.727698624134064,2023
2023-12-24,2023-12-24,1,1.0651984214782715,1.6991795301437378,2023
